Report Start Time,Report End Time,Circle,BSC,Device Name,Cell Id,Start Time,End Time,Duration (DD:HH:mm:ss),Availability(%),Severity,Planned/Unplanned,Remarks
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,BY2720,27201,2023-Sep-24  08:26:39,--,00:07:30:42,0.0,Major,Unplanned,Antenna1 VSWR exceeds alarm level threshold, VSWR val = 2.52692,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,ED4859,48591,2023-Sep-24  15:38:15,--,00:07:30:42,0.0,Major,Unplanned,Antenna1 VSWR exceeds alarm level threshold, VSWR val = 2.21346,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,MNG-KNVVB01,  --  ,2023-Feb-17  01:45:33,--,00:07:30:42,0.0,Major,Unplanned,License expired 7 day(s) ago for BSC : MNG-KNVVB01. 0 day(s) grace period remaining out of 7 days,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_ASMBC7,  --  ,2023-Jun-07  03:39:58,--,00:07:30:42,0.0,Critical,Unplanned,A_Manager_ASMBC7 NOT reachable. Potentially down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,A_Manager_LGMBC1,  --  ,2023-Sep-25  01:53:26,2023-Sep-25  01:54:22,00:00:00:55,99.79,Critical,Unplanned,A-Interface between BSC(MNG-KNVVB01) and MSC (A_Manager_LGMBC1) is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,TestBTS-1,19931,2023-Aug-03  22:23:15,--,00:07:30:42,0.0,Critical,Unplanned,Abis interface with TestBTS-1 is down,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,TestBTS-1,19931,2023-Aug-03  19:06:10,--,00:07:30:42,0.0,Critical,Unplanned,Threshold exceeded for Number Of Successful SDCCH Assignments . Current value is: 0.0,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,MNG-KNVVB01,  --  ,2023-Sep-25  03:27:12,2023-Sep-25  04:58:36,00:01:31:24,79.71,Major,Unplanned,No Traffic Channels are used in the cell: 50371,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,BY2720,27201,2023-Sep-24  08:26:09,--,00:07:30:42,0.0,Critical,Unplanned,BY2720 Hardware not reachable,
2023-Sep-25  00:00:00,2023-Sep-25  07:30:43,,MNG-KNVVB01,DL5037,50371,2023-Sep-24  19:26:24,--,00:07:30:42,0.0,Major,Unplanned,Antenna1 VSWR exceeds alarm level threshold, VSWR val = 2.3142,
